Verträglichkeit,Histamin,Andere Amine,Liberator,Blocker,Zutat,Anmerkungen,
1,?,,?,,Gelatine E441,,"Umstritten, kann auch verträglich sein."
3,,,L,,"Gelborange S, E110",,
2,,,L,,"Geschmacksverstärker, E620-E625",,
2,,,L,,"Glutamate, E620-E625",,
2,,,L,,"Glutaminsäure, (Glutamat), E620",,
1,,,?,,"Gluten, Weizenkleber",,Muss nicht für alle unverträglich sein. Blähungen.
0,,,,,"Glycerin, Glycerol, Glyzerin, Propan-1,2,3-triol, 1,2,3- Propantriol, Propantriol, E422",,
0,,,,,"Gold, E175",,
?,,,?,,"Grün S, E142, Brillantsäuregrün BS, C.I. 44090, C.I. Acid Green
50, Acilangrün BS, Lissamingrün BN oder B, Wollgrün B, Acid Brilliant Green BS",,
0,,,,,"Guanosinmonophosphat, Guanylsäure, Guanylat, E626",,
1,,,L,,"Guarkernmehl, Guaran, E412",,
1,,,L,,"Gummi arabicum, Gummiarabikum, E414",,
2,,,L,,"Hexamethylentetramin, Urotropin, Methenamin, Formin,
Hexamin, E239",,
0,,,,,"Holzkohle, Pflanzenkohle, E153",,
0,,,,,"Holzkohle, Pflanzenkohle, E153",,
0,,,,,"Hydroxypropylcellulose, E463",,
0,,,,,"Hydroxypropylmethylcellulose, Hypromellose, E464",,
0,,,,,"Hypromellose, Hydroxypropylmethylcellulose, E464",,
2,,,L,,"Indigokarmin, Indigocarmin, Indigotin I, E132",,
1,,,L,,"Indischer Traganth, Karayagummi, E416",,
0,,,,,"Invertase, E1103",,
0,,,,,"Isoascorbinsäure, E315",,
2,,?,?,,"Johannisbrot, Johannisbrotpulver",,Aus dem Fruchtfleisch des Johannisbrotbaums gewonnen.
2,,,L,,"Johannisbrotkernmehl, E410",,Aus den Samen des Johannisbrotbaums gewonnen. Verdickungsmittel.
2,,?,?,,Kaftan,,Aus dem Fruchtfleisch des Johannisbrotbaums gewonnen.
0,,,,,"Kaliumacetat, E261",,
2,,,L,,"Kaliumbenzoat, E212",,
0,,,,,"Kaliumcarbonat, Kaliumkarbonat, E501",,
1,,,?,,"Kaliumcitrat, E332",,Oft gut verträglich.
2,,,L,,"Kaliumdisulfit, E224",,
2,,,L,,"Kaliumhydrogensulfit, E228",,
0,,,,,"Kaliumlactat, E326",,
2,,,L,,"Kaliummetabisulfit, E224",,
?,,,,,"Kaliumnitrat, Salpeter, Kalisalpeter, Bengalsalpeter, E252",,
?,,,,,"Kaliumnitrit, Salpetrigsaures Kalium, E249",,
1,,,?,,"Kaliumphosphate, E340",,
2,,,?,,"Kaliumpolyphosphat, E452",,
?,,,,,"Kaliumpropionat, E283",,
2,,,L,,"Kaliumpyrosulfit, E224",,
2,,,L,,"Kaliumsorbat, E202",,
2,,,L,,"Kaliumsulfit, E225",,
0,,,,,"Kaliumtartrat, E336",,
0,,,,,"Kalziumacetat, Calciumacetat, Calciumethanoat, E263",,
2,,,L,,"Kalziumalginat, Calciumalginat, E404",,
2,,,L,,"Kalziumglutamat, E623",,
1,,,L,,"Karaya, Karayagummi, Indischer Traganth, E416",,
2,,,L,,"Karmesin, Azorubin, E122",,
2,,,L,,"Karmin, Cochenille, E120",,
2,,,L,,"Karrageen, Karragheen, E407, E407a",,
2,,,L,,"Karubenmehl, Johannisbrotkernmehl, E410",,Aus den Samen des Johannisbrotbaums gewonnen. Verdickungsmittel.
0,,,,,"Kohle, Pflanzenkohle, Holzkohle, E153",,
1,,,L,,"Kohlensäure H2CO3, gelöstes CO2 in kohlensäurehaltigen
Getränken",,Symptome verschwinden rasch wieder
0,,,,,"kupferhaltige Komplexe der Chlorophylle und Chlorophylline,
E141",,
0,,,,,"Lecithine, Lezithine, E322",,Meist Soja-Lecithin
2,,,L,,"Litholrubin BK, E180",,Nur zugelassen in Käserinde
?,,,,,"Lutein, E161b",,
?,,,,,"Lycopin, Lycopen, Leukopin, E160d, C.I. 75125, C.I. Natural yellow 27",,
?,,,,,"Lysozym, Muramidase, E1105",,
0,,,,,"Magnesiumcarbonat, E504",,
2,,,L,,"Magnesiumdiglutamat, Magnesiumglutamat, E625",,
0,,,,,"Mannit, Mannitol, E421",,
0,,,,,"Methylcellulose, Methylzellulose, Cellulosemethylether, E461",,Kann in grösseren Mengen abführend wirken.
2,,,L,,"Methylparaben, E218, E219",,
0,,,,,"mikrokristalline Cellulose, Cellulosepulver, E460",,
0,,,,,"Milchsäure, 2-Hydroxypropansäure, 2-Hydroxypropionsäure,
acidum lacticum, E260",,Chemisch reine Milchsäure ist kein Problem. Bei der mikrobiellen Milchsäuregärung können hingegen biogene Amine entstehen.
1,,,L,,Mineralwasser mit Kohlensäure,,Symptome verschwinden rasch wieder
2,,,L,,"Monoammoniumglutamat, Ammoniumglutamat, E624",,
2,,,L,,"Monokaliumglutamat, Kaliumglutamat, E622",,
2,,,L,,"Mononatriumglutamat, Natriumglutamat,
Monosodiumglutamat, E621",,
?,,,,,"Natamycin, E235",,
0,,,,,"Natriumacetat, E262",,
2,,,L,,"Natriumalginat, E401",,
2,,,L,,"Natriumalginat, E402",,
0,,,,,"Natriumascorbat, E301",,
2,,,L,,"Natriumbenzoat, E211",,
2,,,L,,"Natriumbisulfit, E222",,
2,,,?,,"Natriumcalciumpolyphosphat, E452",,
0,,,,,"Natriumcarbonat, Natriumkarbonat, Soda, E500",,
2,,,L,,"Natriumdisulfit, E223",,
2,,,L,,"Natriumhydrogensulfit, E222",,
0,,,,,"Natriumisoascorbat, Natriumerythorbat, E316",,
0,,,,,"Natriumlactat, E325",,
2,,,L,,"Natriummetabisulfit, E223",,
?,,,,,"Natriumnitrat, Natronsalpeter, Chilesalpeter, Salpetersaures
Natrium, E251",,
0,,,,,"Natriumnitrit, E250",,
2,,,,,"Natriumorthophenylphenolat, E232",,
2,,,?,,"Natriumpolyphosphat, E452",,
?,,,,,"Natriumpropionat, E281",,
2,,,L,,"Natriumpyrosulfit, E223",,
2,,,L,,"Natriumsulfit, E221",,
0,,,,,"Natriumtartrat, E335",,Siehe auch: Weinsteinbackpulver
0,,,,,"Natron, Natriumhydrogencarbonat, Natriumhydrogenkarbonat, Natriumbicarbonat,
Natriumbikarbonat, Backsoda, E500ii",,
?,,,,,"Nisin, E234",,
2,,,L,,"Octylgallat, E311",,
2,,,L,,"Orthophenylphenol, E231",,
2,,,L,,"Parabene = PHB-Ester, E214-E219, Methyl-, Ethyl-, Propyl-,
Butyl- Benzylparaben",,
2,,,L,,"Patentblau V, E131",,
0,,,,,"Pektin, Pektine, amidiertes Pektin, E440",,
0,,,,,"Pflanzenkohle, Holzkohle, E153",,
?,,,,,"Polydextrose, E1200",,Kann in grösseren Mengen abführend wirken.
?,,,,,"Polydimethylsiloxan, Dimeticon, Dimethicone,
Dimethylpolysiloxan, E900",,
1,,,?,,"Polyvinylpolypyrrolidon, E1202",,
1,,,?,,"Polyvinylpyrrolidon, Povidon, Polyvidone, E1201",,
1,,,?,,"Povidon, Polyvinylpyrrolidon, Polyvidone, E1201",,
?,,,,,"Propionsäure, Propansäure, Ethancarbonsäure,
Metacetonsäure, E280",,"Der Abbau von Propionsäure verbraucht Vitamin B12, was einen bei Betroffenen häufigen B12-Mangel zusätzlich verstärkt."
2,,,L,,"Propylenglycolalginat, Alginat, E405",,
1,,,L,,"Riboflavin-5-Phosphat, E101a",,
2,,,L,,"Rot 2G, E128",,
2,,,L,,"Salicylat, Salicylsäure",,Als Zusatz in Lebensmitteln verboten
0,,,,,"Salzsäure, Chlorwasserstoffsäure, acidum hydrochloricum,
E507",,
2,,,L,,Schwefeldioxid E220,,
?,,,,,"Silber, E174",,
2,,,L,,"Sorbate (=Salze der Sorbinsäure): Kaliumsorbat, E202,
Calciumsorbat, E203",,
2,,,L,,"Sorbinsäure, E200",,
0,,,,,"Stärke (Kartoffelstärke, Maisstärke, Reisstärke,
Tapiokastärke, Weizenstärke, ...)",,z.B. Maizena®
1,,,L,,"Sterculia-Gummi, Karayagummi, E416",,
0,,,,,"Steviosid, Steviol-Glykosid, E960",,
0,,,,,"Sucralose, E955",,
2,,,L,,"Sulfite, E220 - E228",,
3,,,L,,"Tartrazin, E102",,
?,,,,,"tert-Butylhydrochinon, 2-tert-Butylhydrochinon, TBHQ, E319",,
0,,,?,,"Titandioxid, Titan(IV)-oxid, E171",,"Nur einzelne Personen mit Multiple Chemical Sensitivity meldeten bisher
diesen Stoff als unverträglich."
0,,,,,"Tocopherol, Vitamin E, E306",,
2,,,L,,"Traganth, Tragant, E413",,
1,,,?,,"Triammoniumcitrat, Ammoniumcitrat, E380",,
2,,,L,,"Urotropin, Hexamethylentetramin, Methenamin, Formin,
Hexamin, E239",,
0,,,,,"Vanillin (synthetisch), Vanillinzucker",,"Ist leicht reizend, deshalb nur sparsam verwenden!"
0,,,,,"Vitamin C, E300",,"Senkt den Histaminspiegel, ist aber gleichzeitig ein schwacher DAO-
Hemmer. Gut bei MCAS, schlecht bei HIT?"
0,,,,,"Vitamin E, alpha-Tocopherol, E307",,
0,,,,,"Vitamin E, delta-Tocopherol, E309",,
0,,,,,"Vitamin E, gamma-Tocopherol, E308",,
0,,,,,"Vitamin E, Tocopherol, E306",,
0,,,,,"Weinsäure, E334",,
0,,,,,"Weinsteinbackpulver, E336",,
1,,,?,,"Weizenkleber, Gluten",,Muss nicht für alle unverträglich sein. Blähungen.
0,,,,,"Xanthan, Xantan, E415",,
0,,,,,"Zellulose, Cellulose, mikrokristalline Cellulose,
Cellulosepulver, E460",,
0,,,,,"Zinkacetat, E650",,
1,,,,,Zitronensäure E330,"Verträglichkeit umstritten. Aus Schimmelpilz hergestellt. Hat nichts mit
Zitronen zu tun, sondern heisst bloss so.",
0,,,,,"Zuckercouleur, Zuckerkulör, E150, E150a",,
0,,,,,"Zuckercouleur: Ammoniak-Zuckerkulör, E150c",Möglicherweise etwas weniger gut verträglich als E150?,
0,,,,,"Zuckercouleur: Ammoniumsulfit-Zuckerkulör, E150d",Möglicherweise etwas weniger gut verträglich als E150?,
0,,,,,"Zuckercouleur: Sulfitlaugen-Zuckerkulör, E150b",Möglicherweise etwas weniger gut verträglich als E150?,
2,,,L,,"Folsäure, Folat, Vitamin B9","Umstritten; andere Bezeichnung: Pteroyl-mono-glutaminsäure (Ähnlichkeit
mit Glutaminsäure, Glutamat?)",
3,,,L,,"Iod, Jod",,
2,,,L,,"Jodsalz, Iodsalz (Jodzusatz in Form von Kaliumiodid,
Kaliumjodid, Kaliumiodat, Kaliumjodat)",,
3,,,L,,Jodtabletten für den atomaren Störfall,,
3,,,L,,"Kaliumiodat, Kaliumjodat",,
3,,,L,,"Kaliumiodid, Kaliumjodid",,
2,,,L,,Kochsalz iodiert / jodiert,,
2,,,,B,Theobromin,,
2,,,L,,"Lakritze, ""Bärendreck""",,
1,,,,,Marzipan,"Kleine Mengen gut verträglich, falls ohne unverträgliche Zusatzstoffe!",
2,,A,,,"Schokolade, braun / schwarz / dunkel","Tyramin, Phenylethylamin",
1,,?,,,"Schokolade, weiss",Meistens gut verträglich.,
1,,?,,,weiße Schokolade,Meistens gut verträglich.,
2,H,,L,,Senf (Zubereitung),"Zubereitung aus Senfsamen, Essig etc.",
2,,,,,Tofu,,
